serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
46,74,26,244,2,0,0,1,0,182,1,248,3,1,1,1,0,3,1,0,1,789,0,4,793,0,"Panchyat  Union Middle  School,  South Building,  Duraiyoor","1.Ilangai  Agathigal  Colony Duraiyoor  Street  No1
2.Street  No 2
3.Street  No 3
4.Street  No 4 999.OVERSEAS ELECTORS",General,"Panchyat  Union Middle  School,  South Building",Duraiyoor,dravida munnetra kazhagam,244,182,62,tamilaga vettri kazhagam,3,4,1,7,13,13,2,5,8,8,8,13,5,8,13,8,7.858048162230672,11
47,36,29,166,1,1,0,0,0,163,0,187,2,0,0,0,1,0,0,2,0,588,0,1,589,0,"Panchyat  Union Middle  School,  North Building,  Duraiyoor","1.Street  No 5
2.Street  No 6
3.West  Portion Street  No 7
4.Street  No 8
5.Street  No 9
6.Street  No 10 999.OVERSEAS ELECTORS",General,"Panchyat  Union Middle  School,  North Building",Duraiyoor,dravida munnetra kazhagam,166,163,3,tamilaga vettri kazhagam,3,4,1,7,7,10,2,5,10,10,10,7,10,10,5,10,0.5102040816326531,5
48,70,57,189,2,1,0,0,0,163,0,86,1,0,0,2,1,0,0,1,1,574,0,1,575,0,"Adidiravidar  Primary School,  Papaiyapuram","1.Block 4 Pappaiyapuram
2.Block 5 Shunmugapuram 999.OVERSEAS ELECTORS",General,Adidiravidar  Primary School,Papaiyapuram,dravida munnetra kazhagam,189,163,26,tamilaga vettri kazhagam,3,4,1,5,7,12,2,7,12,12,5,7,12,12,7,7,4.529616724738676,6
49,238,93,216,4,0,2,0,1,244,0,23,0,1,0,0,2,2,2,1,0,829,0,2,831,0,"Panchayat  Union Middle  School,  South Portion,  New Building,  Pathinalamperi.","1.Block 1 Ramachandrapuram
2.Block 2 Alangaraperi  Melur  Keelur
3.Pathinalamperi 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  South Portion,  New Building",Pathinalamperi.,tamilaga vettri kazhagam,244,238,6,all india anna dravida munnetra kazhagam,2,4,3,5,12,9,1,12,9,12,12,6,6,6,9,12,0.7237635705669482,8
50,97,43,120,1,0,4,1,1,190,2,174,0,2,1,2,0,0,0,2,0,640,0,0,640,0,"Panchayat  Union Primary School,Western   Portion Kuppakurichi.","1.Block 1 Mettupacheri
2.Block 2 Kuppakurichi 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,Western   Portion Kuppakurichi.,tamilaga vettri kazhagam,190,120,70,dravida munnetra kazhagam,3,4,2,8,11,8,1,11,5,8,5,11,11,11,5,11,10.9375,7
51,56,77,71,1,0,0,0,3,196,2,3,1,0,0,3,1,1,0,0,2,417,0,1,418,0,"Panchayat  Union Primary School,  Eastern   Portion Kuppakurichi.","1.Block 3 Pillaiyar  Kovil  Street
2.Nadar  Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,Eastern   Portion Kuppakurichi.,tamilaga vettri kazhagam,196,77,119,naam tamilar katchi,4,2,3,8,12,5,1,8,12,12,5,8,8,12,12,7,28.53717026378897,8
52,61,45,229,1,0,1,0,0,176,0,291,3,1,1,3,1,0,0,4,0,817,0,2,819,0,"Government  Hr.Sec.  School,  South Portion East  Faced,  West Side  Building ,  Palamadai.","1.Block 11 Indira Street
2.Block 9 Mela Palamadai
3.Block 8 Mela Palamadai 999.OVERSEAS ELECTORS",General,"Government  Hr.Sec.  School,  South Portion East  Faced,  West Side  Building",Palamadai.,dravida munnetra kazhagam,229,176,53,tamilaga vettri kazhagam,3,4,1,8,12,12,2,6,8,8,6,8,12,12,5,12,6.487148102815178,13
53,62,36,226,6,1,0,0,0,123,0,177,1,2,0,1,3,1,0,0,2,641,0,5,646,0,"Government  Hr.Sec.  School,    Northern Portion North Faced,  West  Side  Building ,  Palamadai.","1.Block 9,  10 KattamPuli  Palamadai
2.Block 7 Thangammankovil  Street  Kalkurichi 999.OVERSEAS ELECTORS",General,"Government  Hr.Sec.  School,    Northern Portion North Faced,  West  Side  Building",Palamadai.,dravida munnetra kazhagam,226,123,103,tamilaga vettri kazhagam,3,4,1,5,9,13,2,9,7,13,9,6,9,13,13,7,16.06864274570983,10
54,144,42,76,3,0,3,0,3,476,1,13,1,0,1,5,1,2,0,3,0,774,0,0,774,0,"Panchayat  Union Middle   School,  South Portion,  North Building Palamadai.","1.Block 1 Veppankulam
2.Block 2 Kattalai  Vethakovil  Street
3.Block 3 Narayanasamy Kovil  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle   School,  South Portion",North Building Palamadai.,tamilaga vettri kazhagam,476,144,332,all india anna dravida munnetra kazhagam,2,4,3,6,13,6,1,10,13,10,5,10,9,13,6,13,42.89405684754522,13
55,145,33,38,1,0,7,1,4,351,1,15,1,0,0,5,5,1,0,1,1,610,0,1,611,0,"Panchayat  Union Middle  School,  North Portion ,  North Building,  Palamadai.","1.Block 4 Perumal  kovil  Street  Palamadai.
2.Block 4 Pillaiyar  Kovil  Street
3.Block 4 Maravar  Middle  Street
4.Block 4 Pillaiyar  Kovil  Street
5.Block 4 Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  North Portion ,  North Building",Palamadai.,tamilaga vettri kazhagam,351,145,206,all india anna dravida munnetra kazhagam,2,4,3,8,13,7,1,8,13,13,5,5,8,13,8,8,33.77049180327869,14
56,158,21,38,0,0,17,0,0,255,0,33,0,0,0,4,2,1,0,0,1,530,0,1,531,0,"Panchayat  Union Middle  School,  Middle  Portion ,South Building,  Palamadai.","1.Block 6 Harijana Ammankovil  Street
2.Block 5 South Street
3.Block 5 South Street
4.Block 5 Yathav Street
5.Block 5 Velar  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  Middle  Portion ,South Building",Palamadai.,tamilaga vettri kazhagam,255,158,97,all india anna dravida munnetra kazhagam,2,4,3,9,9,9,1,9,9,9,5,6,7,9,9,7,18.30188679245283,8
57,153,27,222,2,0,1,0,0,244,3,48,0,1,1,3,1,1,1,1,2,711,0,1,712,0,"Ponnusamy Middle  School,  Main Building,  Central  Hall, Rajavallipuram.","1.Maravar  Colony 1,2,3,4 Street
2.Harijan Quarters
3.1,2,3 East  West  Street
4.East  West  Street  Sathan Kovil  Street 999.OVERSEAS ELECTORS",General,"Ponnusamy Middle  School,  Main Building,  Central  Hall",Rajavallipuram.,tamilaga vettri kazhagam,244,222,22,dravida munnetra kazhagam,3,4,2,6,14,14,1,14,8,8,5,8,8,8,8,6,3.09423347398031,11
58,170,45,186,4,2,2,0,3,259,0,68,4,0,3,2,1,4,1,0,1,755,0,1,756,0,"Ponnusamy Middle  School,  Main Building,  North Side, Rajavallipuram.","1.Harijan Quarters Perumal  Kovil  Street
2.Harijan Quartets (Indira Nagar)
3.Maravar  Colony. 999.OVERSEAS ELECTORS",General,"Ponnusamy Middle  School,  Main Building,  North Side",Rajavallipuram.,tamilaga vettri kazhagam,259,186,73,dravida munnetra kazhagam,3,4,2,5,10,8,1,5,15,8,10,12,5,12,15,12,9.668874172185431,16
59,106,90,181,2,0,0,0,0,189,0,3,0,0,0,3,0,0,2,0,0,576,0,1,577,0,"Ponnusamy Middle  School,  South Block,  South Side, Rajavallipuram.","1.Ward 4 Nadar  Amman Kovil  Street
2.Ward 5 East  Street 999.OVERSEAS ELECTORS",General,"Ponnusamy Middle  School,  South Block,  South Side",Rajavallipuram.,tamilaga vettri kazhagam,189,181,8,dravida munnetra kazhagam,3,4,2,6,8,8,1,8,8,8,5,8,8,6,8,8,1.388888888888889,5
60,241,31,131,1,0,5,0,1,247,0,1,0,1,4,0,3,5,0,0,0,671,0,3,674,0,"Ponnusamy Middle  School,  South Block,  North Side, Rajavallipuram.","1.Ward 6 West  Street
2.Ward 7 Petchiamman Kovil  Street 999.OVERSEAS ELECTORS",General,"Ponnusamy Middle  School,  South Block,  North Side",Rajavallipuram.,tamilaga vettri kazhagam,247,241,6,all india anna dravida munnetra kazhagam,2,4,3,8,11,8,1,11,8,6,11,7,5,11,11,11,0.8941877794336811,13
61,169,30,102,0,3,1,0,0,175,0,51,0,0,0,0,0,2,0,1,0,534,0,2,536,0,"St.Joseph High School,  Office  Room   Near   East  Side   1 Room, Naranammalpuram..","1.Ward 4 Arukankulam Amman Kovil  Street
2.Ward 4 Arukankulam Post  Office  Street
3.Ward 4 Devar  Big Street  (Etteluthu Perumal  Kovil  Street)
4.Ward 4 Naranammalpuram Akraharam Street 999.OVERSEAS ELECTORS",General,"St.Joseph High School,  Office  Room   Near   East  Side   1 Room",Naranammalpuram..,tamilaga vettri kazhagam,175,169,6,all india anna dravida munnetra kazhagam,2,4,3,8,5,8,1,8,8,8,8,8,6,8,7,8,1.123595505617978,3
62,144,23,113,2,1,0,1,1,206,0,22,0,0,0,2,0,2,0,0,1,518,0,0,518,0,"St.Joseph High School,  Office  Room   Near   East  Side   2 Room, Naranammalpuram.","1.Ward 4 Asarimar  Street
2.Ward 4 Vaniyar  Street
3.Ward 4 Uchimakaliamman Kovil  Street
4.Ward 4 Sangili  Poothathan Street
5.Ward 4 Bazar  Street
6.Ward 4 Sivan Kovil  Street
7.Ward 4 Arukankulam Sivan Street
8.Ward 5 Kattudaiyar  Kudieruppu New Colony
9.Ward 5 Kattudaiyar  Kudieruppu 999.OVERSEAS ELECTORS",General,"St.Joseph High School,  Office  Room   Near   East  Side   2 Room",Naranammalpuram.,tamilaga vettri kazhagam,206,144,62,all india anna dravida munnetra kazhagam,2,4,3,5,8,8,1,11,11,11,5,11,5,11,11,8,11.96911196911197,5
63,124,63,106,2,0,0,0,0,223,0,5,0,0,1,3,1,0,1,0,1,530,0,2,532,0,"St.Joseph High School,   Staff  Room Near  East  Side  1 Room Naranammalpuram.","1.Ward 3 Nadar  Street
2.Ward 3 Yathavar  Street
3.Ward 3 Pillaiyar  Kovil  Street
4.Ward 4 Maravar  East  Street
5.Ward 4 Maravar  West  Street
6.Ward 3 Vetha Kovil  Street 999.OVERSEAS ELECTORS",General,St.Joseph High School,Staff  Room Near  East  Side  1 Room Naranammalpuram.,tamilaga vettri kazhagam,223,124,99,all india anna dravida munnetra kazhagam,2,4,3,6,11,11,1,11,11,7,5,7,11,7,11,7,18.67924528301887,7
64,81,50,109,0,0,0,0,1,137,0,20,0,0,1,0,1,0,0,0,0,400,0,1,401,0,"St.Joseph High School,   Staff  Room Near  East  Side  2   Room Naranammalpuram.","1.Ward 2 Ananthakrishnapuram Asarimar  Street
2.Ward 1 Ananthakrishnapuram Solai  North Street
3.Ward 2 Ananthakrishnapuram Amman Kovil  Street
4.Ward 2 Ananthakrishnapuram Street
5.Ward 2 Ananthakrishnapuram Perumal  Sannathi  Street
6.Ward 5 Kattudaiyar  Kudieruppu North Street
7.Ward 5 Kattudaiyar  Kudieruppu Naduoor
8.Ward 2 Muthu Nagar  (Ananthakrishnapuram) 999.OVERSEAS ELECTORS",General,St.Joseph High School,Staff  Room Near  East  Side  2   Room Naranammalpuram.,tamilaga vettri kazhagam,137,109,28,dravida munnetra kazhagam,3,4,2,8,8,5,1,8,8,5,8,5,8,8,8,8,7.000000000000001,2
65,143,17,178,1,1,1,0,1,156,0,69,0,0,0,2,0,1,0,2,0,572,0,2,574,0,"Government  Adithiravidar  Welfare  Middle  School,  Puthu Nagar,  Naranammalpuram.","1.Vannanpacheri  Maravar  Periya Street
2.Vannanpacheri  Periya Street  Harijan South Street
3.Puthunagar  Harijan South Street
4.Puthunagar  Harijan North Street 999.OVERSEAS ELECTORS",General,"Government  Adithiravidar  Welfare  Middle  School,  Puthu Nagar",Naranammalpuram.,dravida munnetra kazhagam,178,156,22,tamilaga vettri kazhagam,3,4,1,7,7,7,2,11,11,11,5,11,7,11,5,11,3.846153846153846,5
66,190,20,60,0,0,0,0,0,121,0,1,2,0,0,1,1,2,0,0,1,399,0,1,400,0,"Child Care  Centre,  Kurichikulam.","1.Ward 6 North Street
2.Ward 8 Manthiramoorthi  Kovil  Street  Karaieruppu
3.Ward 8 Karaieruppu North Street 999.OVERSEAS ELECTORS",General,Child Care  Centre,Kurichikulam.,all india anna dravida munnetra kazhagam,190,121,69,tamilaga vettri kazhagam,1,4,3,10,10,10,2,5,10,10,7,7,5,10,10,7,17.29323308270677,7
67,357,33,131,0,0,3,0,1,183,0,0,0,0,3,1,2,0,0,0,2,716,0,0,716,0,New Community Hall  Kurichikulam,"1.Ward 6 Amman Kovil  Street
2.Ward 6 Periya Street
3.Ward 6 South Street
4.Ward 6 Salai  Street
5.Ward 6 Maravar  South Periya Street
6.Ward 6 Maravar  South Street 999.OVERSEAS ELECTORS",General,New Community Hall  Kurichikulam,New Community Hall  Kurichikulam,all india anna dravida munnetra kazhagam,357,183,174,tamilaga vettri kazhagam,1,4,3,10,10,8,2,10,10,5,8,6,10,10,10,6,24.30167597765363,8
68,232,25,108,1,0,0,0,0,274,0,2,1,0,1,1,1,2,1,0,0,649,0,0,649,0,"Panchayat  Primary School,  Thiruvalluvar  Nagar,  Western Part  Chathramkudieruppu.","1.Ward 14 Senthil  Nagar
2.Ward 14 Selvam Nagar
3.Ward 14 Timbar  Works Houses 999.OVERSEAS ELECTORS",General,"Panchayat  Primary School,  Thiruvalluvar  Nagar",Western Part  Chathramkudieruppu.,tamilaga vettri kazhagam,274,232,42,all india anna dravida munnetra kazhagam,2,4,3,6,12,12,1,6,12,6,6,6,5,6,12,12,6.471494607087827,7
69,159,89,159,1,0,0,1,1,248,1,2,1,2,2,1,0,2,2,1,1,673,0,2,675,0,"Panchayat  Primary School,  Thiruvalluvar  Nagar,  Eastern Part  Chathramkudieruppu.","1.Ward 14 Kamaraj  Nagar
2.Ward 14 Panchayat  Office  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Primary School,  Thiruvalluvar  Nagar",Eastern Part  Chathramkudieruppu.,tamilaga vettri kazhagam,248,159,89,dravida munnetra kazhagam,2,4,2,9,15,9,1,9,5,5,9,15,5,5,9,9,13.22436849925706,12
70,141,29,123,1,0,3,0,0,177,2,78,1,0,0,3,3,2,0,0,0,563,0,2,565,0,"Naranammalpuram Town Panchayat  Office, Chatramkudieruppu.","1.Ward 15 Palam Street
2.Ward 15 V.O.C.  Nagar. 999.OVERSEAS ELECTORS",General,Naranammalpuram Town Panchayat  Office,Chatramkudieruppu.,tamilaga vettri kazhagam,177,141,36,all india anna dravida munnetra kazhagam,2,4,3,8,10,10,1,8,10,10,5,5,7,10,10,10,6.394316163410302,9
71,76,25,140,1,1,0,0,0,192,0,12,1,0,1,0,0,1,0,4,0,454,0,0,454,0,"(Panchayat  Primary School  Campus )Integrated Child Development  Centre,  Centre  No 33628120231 Chatramkudieruppu.","1.Ward 15 Thiruvalluvar  New Street
2.Ward 15 Thiruvalluvar  South Street
3.Ward 15 Thiruvalluvar  North Street 999.OVERSEAS ELECTORS",General,(Panchayat  Primary School  Campus )Integrated Child Development  Centre,Centre  No 33628120231 Chatramkudieruppu.,tamilaga vettri kazhagam,192,140,52,dravida munnetra kazhagam,3,4,2,6,6,11,1,6,11,6,11,11,6,11,5,11,11.45374449339207,7
72,164,45,113,2,0,0,1,1,305,0,1,0,0,0,1,0,0,0,1,0,634,0,3,637,0,"Govt.  High   School,  North Building,  East  Side, Chathramkudieruppu.","1.Palaiya Pillaiyar  Kovil  Streeet
2.Visvakarma Nagar
3.Vanji  Nagar 999.OVERSEAS ELECTORS",General,"Govt.  High   School,  North Building,  East  Side",Chathramkudieruppu.,tamilaga vettri kazhagam,305,164,141,all india anna dravida munnetra kazhagam,2,4,3,5,9,6,1,9,9,9,6,9,9,9,6,9,22.2397476340694,2
73,125,16,124,4,0,0,0,2,201,1,0,0,0,2,2,2,2,1,1,1,484,0,0,484,0,"Panchayat  Union Primary School,  South Building,  East Side,  (Govt.  High school  campus)  Chathramkudieruppu.","1.Arunachala Nagar
2.Circle  Office  Bazar  Street
3.Thendral  Nagar
4.Palaiya Pillaiyar  Kovil  1st  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  South Building,  East Side",(Govt.  High school  campus)  Chathramkudieruppu.,tamilaga vettri kazhagam,201,125,76,all india anna dravida munnetra kazhagam,2,4,3,5,14,6,1,14,14,6,6,6,6,11,11,11,15.70247933884298,11
74,178,54,169,0,2,0,0,2,237,0,0,0,0,0,0,2,0,0,2,1,647,0,1,648,0,"Government  High School,  East  Hall  South Side, Chathramkudieruppu.","1.Ward 13 Selvi  Amman Kovil  IInd Street
2.Ward 13 Selvi  Amman Kovil  IInd Street
3.Naranammalpuram (T.P)  Ward 13 Selvi  Amman Kovil  IIIrd Street
4.Ward 13 Selvi  Amman Kovil  IVth Street
5.Ward 13 Selvi  Amman Kovil  Ist  Lane  Street
6.Ward 13 Selvi  Amman Kovil  IInd Lane  Street
7.Ward 13 Selvi  Amman Kovil  East  Street
8.Ward 13 Selvi  Amman Kovil  West  Street
9.Ward 13 Bazar  Street  Railway Feeder  Road 999.OVERSEAS ELECTORS",General,"Government  High School,  East  Hall  South Side",Chathramkudieruppu.,tamilaga vettri kazhagam,237,178,59,all india anna dravida munnetra kazhagam,2,4,3,10,5,5,1,10,10,10,10,5,10,10,5,9,9.119010819165378,5
75,114,30,152,1,0,1,0,1,189,0,1,0,0,0,0,0,0,0,1,0,490,0,0,490,0,"Government  High School,  East  Hall  South Side,  Second Room Chathramkudieruppu.","1.Ward 12 Chithivinayagar  Kovil  Street
2.Ward 12 Pillaiyar  Kovil  Street  Main Road
3.Ward 12 Pillaiyar  Kovil  Street  Ist  Lane
4.Ward 12 Pillaiyar  Kovil  South Street
5.Ward 12 Pillaiyar  Kovil  Street
6.Ward 12 Pillaiyar  Kovil  North Last  Street 999.OVERSEAS ELECTORS",General,"Government  High School,  East  Hall  South Side",Second Room Chathramkudieruppu.,tamilaga vettri kazhagam,189,152,37,dravida munnetra kazhagam,3,4,2,5,8,5,1,8,8,8,8,8,8,8,5,8,7.551020408163265,1
76,117,21,165,0,0,2,0,0,211,0,21,0,0,0,1,0,0,0,2,0,540,0,1,541,0,"St.Joseph Primary School,  North Building south portion 1st Room Sankarnagar.","1.Ward 8,9 Poonthotta Street  (Circle  Ofice  Street). 999.OVERSEAS ELECTORS",General,St.Joseph Primary School,North Building south portion 1st Room Sankarnagar.,tamilaga vettri kazhagam,211,165,46,dravida munnetra kazhagam,3,4,2,7,7,7,1,7,7,7,6,7,7,7,5,7,8.518518518518519,3
77,156,23,111,1,0,0,0,0,163,1,4,0,1,1,1,1,1,0,1,2,467,0,1,468,0,"St.Joseph's Nursery & Primary School,  North Building, south Portion,  2nd Rooms Sankarnagar.","1.Ward 9 Ram Nagar
2.Ward 8 Purachi  Thalaivi  Jeyalalitha Nagar
3.Ward 7 Ukkiran Nagar. 999.OVERSEAS ELECTORS",General,"St.Joseph's Nursery & Primary School,  North Building, south Portion",2nd Rooms Sankarnagar.,tamilaga vettri kazhagam,163,156,7,all india anna dravida munnetra kazhagam,2,4,3,6,13,13,1,13,6,6,6,6,6,13,6,5,1.498929336188437,8
78,66,19,115,1,0,0,0,0,100,0,62,0,0,0,0,0,0,0,0,0,363,0,1,364,0,"St.Joseph's Nursery & Primary School,  North Building, south Portion,  West  Side  Sankarnagar.",1.Ward 8 Circle  Office  Street  (Devalaya Street) 999.OVERSEAS ELECTORS,General,"St.Joseph's Nursery & Primary School,  North Building, south Portion",West  Side  Sankarnagar.,dravida munnetra kazhagam,115,100,15,tamilaga vettri kazhagam,3,4,1,5,6,6,2,6,6,6,6,6,6,6,6,6,4.132231404958678,0
79,115,23,144,1,0,0,0,1,180,1,0,0,0,0,0,0,1,0,1,1,468,0,4,472,0,"St.Joseph Primary School,  North Building,  East  Portion,  1st Room Chathramkudieruppu.",1.Ward 11 Circle  Office  Ist  Street 999.OVERSEAS ELECTORS,General,"St.Joseph Primary School,  North Building,  East  Portion",1st Room Chathramkudieruppu.,tamilaga vettri kazhagam,180,144,36,dravida munnetra kazhagam,3,4,2,5,10,5,1,10,10,10,10,10,5,10,5,5,7.692307692307693,3
80,228,37,107,1,0,1,0,1,203,0,0,0,0,1,1,1,1,0,0,0,582,0,1,583,0,"St.Joseph Primary School,  North Building,  East  Portion, 2nd Room Chathramkudieruppu.","1.Ward 11 Santhanakumari  Illam
2.Ward 10 Pasumpon Nagar  Ist  Street
3.Ward 10 Pillaiyar  Kovil  West  Street
4.Ward 10 Pillaiyar  Kovil  Street
5.Ward 10 Pillaiyar  Kovil  East  Street,  Ist  Street,  IInd Street 999.OVERSEAS ELECTORS",General,"St.Joseph Primary School,  North Building,  East  Portion",2nd Room Chathramkudieruppu.,all india anna dravida munnetra kazhagam,228,203,25,tamilaga vettri kazhagam,1,4,3,5,11,5,2,11,11,5,5,5,5,11,11,11,4.29553264604811,4
81,73,33,163,3,0,1,0,0,193,2,53,2,0,0,0,0,0,1,0,0,524,0,1,525,0,"Sankar  Hr.sec.School,  Main Building,  North Side  of  4A Room, Sankar  Nagar.","1.Ward 1 Main Road
2.Ward 1 Thathanoothu First  Street
3.Ward 3 Pandarakulam First  Street
4.Ward 3 Pandarakulam Second Street
5.Ward 3 Pandarakulam Third Street 999.OVERSEAS ELECTORS",General,"Sankar  Hr.sec.School,  Main Building,  North Side  of  4A Room",Sankar  Nagar.,tamilaga vettri kazhagam,193,163,30,dravida munnetra kazhagam,3,4,2,5,8,8,1,6,8,8,8,8,8,7,8,8,5.725190839694656,3
82,68,50,199,1,0,1,0,0,226,1,32,2,0,2,1,0,0,0,1,1,585,0,1,586,0,"Sankar  Hr.sec.School,  Main Building,  North Side  of  4A Room, Near  HM Room Sankar  Nagar.","1.Ward 1 Thathanoothu Second Street
2.Ward 2 Indira Nagar
3.Ward 4 Pandarakulam Fourth Street
4.Ward 4 Pandarakulam Fifth Street
5.Ward 4 Mahalakshmi Amman Kovil  Street
6.Ward 4 Nadar  Street
7.Ward 4 Chettiyar  Colony 999.OVERSEAS ELECTORS",General,"Sankar  Hr.sec.School,  Main Building,  North Side  of  4A Room",Near  HM Room Sankar  Nagar.,tamilaga vettri kazhagam,226,199,27,dravida munnetra kazhagam,3,4,2,7,11,11,1,5,11,5,7,11,11,11,7,7,4.615384615384616,7
83,50,16,120,1,0,0,0,0,99,0,3,0,0,0,1,0,0,0,0,0,290,0,0,290,0,"Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -1","1.Ward 8 Srinivasanagar  First  Street
2.Ward 8 Srinivasanagar  Second Street
3.Ward 8 Srinivasanagar  Third Street
4.Ward 8 Srinivasanagar  Fourth Street 999.OVERSEAS ELECTORS",General,Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -1,dravida munnetra kazhagam,120,99,21,tamilaga vettri kazhagam,3,4,1,5,7,7,2,7,7,7,5,7,7,7,7,7,7.241379310344828,1
84,80,39,228,0,0,0,0,0,280,0,4,0,0,0,2,1,0,0,1,0,635,0,2,637,0,"Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -11",1.Ward 8 T.N.W.H.  Colony 999.OVERSEAS ELECTORS,General,Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -11,tamilaga vettri kazhagam,280,228,52,dravida munnetra kazhagam,3,4,2,8,8,8,1,8,8,8,5,6,8,8,6,8,8.188976377952756,4
85,93,31,307,0,0,0,0,0,198,0,4,1,0,2,0,0,0,0,0,0,636,0,2,638,0,"Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -2",1.Ward 8 Muthu Nagar 999.OVERSEAS ELECTORS,General,Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -2,dravida munnetra kazhagam,307,198,109,tamilaga vettri kazhagam,3,4,1,7,7,7,2,6,7,5,7,7,7,7,7,7,17.13836477987421,3
86,42,16,226,0,0,0,0,1,206,0,0,0,1,1,1,0,0,0,0,0,494,0,1,495,0,"Sankar  Hr.Sec.School,  Main Building,  North Side  of  3rd Room, Sankar  Nagar.","1.Ward 11 Church Street
2.Ward 11 Arunthiyar  Colony 999.OVERSEAS ELECTORS",General,"Sankar  Hr.Sec.School,  Main Building,  North Side  of  3rd Room",Sankar  Nagar.,dravida munnetra kazhagam,226,206,20,tamilaga vettri kazhagam,3,4,1,9,9,5,2,9,5,5,5,9,9,9,9,9,4.048582995951417,3
87,42,8,75,0,0,0,0,1,88,0,1,0,0,0,0,0,0,0,0,0,215,0,0,215,0,"Sankar  Hr.Sec.School,  Main Building,  North Side  of  2rd Room 12C ,  Sankar  Nagar.","1.Ward 10 Subburaj  Mill  Colony
2.Ward 12 India Cement  New Colony 999.OVERSEAS ELECTORS",General,"Sankar  Hr.Sec.School,  Main Building,  North Side  of  2rd Room 12C",Sankar  Nagar.,tamilaga vettri kazhagam,88,75,13,dravida munnetra kazhagam,3,4,2,6,6,5,1,6,6,6,6,6,6,6,6,6,6.046511627906977,0
88,98,35,143,0,0,0,0,2,148,2,3,1,0,0,1,0,2,0,0,0,435,0,1,436,0,"Sankar  Hr.Sec.School,  Main Building,  North Side  of  2nd Room, Sankar  Nagar.","1.Ward 5 Police   Colony
2.Ward 5 Railway Colony
3.Ward 7 Manis Colony
4.Ward 7 Narayananagar
5.Ward 5,6 India Cement  Old Colony
6.Ward 7 Narayananagar  First  Street
7.Ward 7 Narayananagar  Second Street
8.Ward 7 Narayananagar  Third Street 999.OVERSEAS ELECTORS",General,"Sankar  Hr.Sec.School,  Main Building,  North Side  of  2nd Room",Sankar  Nagar.,tamilaga vettri kazhagam,148,143,5,dravida munnetra kazhagam,3,4,2,9,9,5,1,7,9,9,7,9,5,9,9,9,1.149425287356322,4
89,87,39,139,0,0,0,0,0,182,1,0,0,0,0,1,0,0,0,0,0,449,0,0,449,0,"Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -4","1.Ward 8 Sarathampal  Nagar  (Thenkalam Road)
2.Ward 8 Thenvadal  First  Street
3.Ward 8 East  West  First  Street
4.Ward 8 East  West  Second Street
5.Ward 8 East  West  Third Street
6.Ward 8 East  West  Fourth Street 999.OVERSEAS ELECTORS",General,Sri  Jayendra Saraswathi  Swamigal  Golden Jubilee  Matric Hr.Sec.School,Main Block Room No -4,tamilaga vettri kazhagam,182,139,43,dravida munnetra kazhagam,3,4,2,6,6,6,1,6,6,6,5,6,6,6,6,6,9.57683741648107,1
