Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes
194,212,271,53,1,0,3,6,269,0,1,0,1,0,0,1,4,0,0,1,0,0,823,0,2,825,0,Kovilpatti,"Sankarakumar  Primary  School,  West  Side Kovilpatti","1.Kovilpatti  (M)  Sankaralingapuram  South  Street  1  Ward  5  ,  2.Kovilpatti
(M)  Sankaralingapuram  Nadu  Street  Ward  5  ,  3.Kovilpatti  (M)  Main  Road Ward  5  ,  4.Kovilpatti  (M)  Oodai  East  Street  Ward  5  ,  5.Kovilpatti(M) Sankaralingapuram  South  street  2  ward  5  ,  999.OVERSEAS  ELECTORS",All  Voters,823,Dravida Munnetra Kazhagam,271,269,2,Tamilaga Vettri Kazhagam,1,3,4,2,8,13,7,5,13,8,13,8,13,13,8,6,13,13,8,13,13,0.2430133657351154,8
195,222,227,79,2,0,0,0,188,0,7,0,0,0,1,0,2,2,0,6,0,0,736,0,3,739,0,Kovilpatti,"Sankarakumar  Primary  School,  Middle  Side Kovilpatti","1.Kovilpatti  (M)  Sankaralingapuram  East  Street  Ward  5  ,  2.Kovilpatti  (M) Sankaralingapuram  East  Street  No  2  Ward  5  ,  3.Kovilpatti  (M)  Thari  Office Street  Ward  5  ,  4.Kovilpatti  (M)  Gopalapuram  Street  Ward5  , 999.OVERSEAS  ELECTORS",All  Voters,736,Dravida Munnetra Kazhagam,227,222,5,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,7,11,11,11,11,5,11,11,11,10,11,7,7,11,6,11,11,0.6793478260869565,18
196,229,228,37,0,0,2,2,239,0,2,0,1,1,0,3,3,1,2,1,2,0,753,0,1,754,0,Kovil  patti,"Sankarakumar  Primary  School,  Centre  Side Kovilpatti","1.Kovilpatti  (m)  Sankaralingapuram  North  Street  Ward  5  , 999.OVERSEAS  ELECTORS",All  Voters,753,Tamilaga Vettri Kazhagam,239,229,10,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,16,16,7,7,16,7,16,12,12,16,5,5,12,7,12,7,16,1.328021248339973,16
197,203,240,58,2,1,0,2,291,0,1,0,0,1,1,1,1,2,3,0,0,0,807,0,1,808,0,Kovilpatti,"E.V.A.  Vallimuthu  Primary  School  East  Side, Kovilpatti","1.Kovilpatti  (m)  Velayuthapuram  melastreet  ward  6  ,  2.Kovilpatti  (M) Mayanam  Street  Ward  6  ,  3.Kovilpatti  (M)  Velayuthapuram  Street  No  4 Ward  6  ,  4.Kovilpatti  (M)  Velayuthapuram  Street  No5  Ward6  , 999.OVERSEAS  ELECTORS",All  Voters,807,Tamilaga Vettri Kazhagam,291,240,51,Dravida Munnetra Kazhagam,2,3,4,1,6,9,15,6,15,9,15,15,9,9,9,9,6,5,15,15,15,6.319702602230483,10
198,235,273,89,2,0,0,1,264,2,0,0,0,0,1,1,2,0,1,1,0,0,872,0,1,873,0,Kovilpatti,"E.V.A.  Vallimuthu  Primary  School,  West Side,  Kovilpatti","1.Kovilpatti  (M)  Velayuthapuram  Nadu  Street  Ward  6  ,  2.Kovilpatti  (M) Velayuthapuram  3rdStreet  Ward  6  ,  3.Kovilpatti  (M)  Main  Road  Ward  6  , 4.Kovilpatti  (M)  Agriculture  Form  Ward  6  ,  5.Kovilpatti  (M) Velayuthapuram  6th  Street  Ward  6  ,  999.OVERSEAS  ELECTORS",All  Voters,872,Dravida Munnetra Kazhagam,273,264,9,Tamilaga Vettri Kazhagam,1,3,4,2,5,13,13,8,5,13,13,13,13,8,8,5,13,8,8,13,13,1.032110091743119,6
199,32,201,18,1,0,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,361,0,2,363,0,North Puthugramam Kovilpatti,"Vivek  Nursury  and  Primary  School,  West Building  South  Portion,  North  Puthugramam Kovilpatti","1.Kovilpatti  (M)  Street  No2  Loyal  Mill  NorthLine  Ward  13  ,  2.Kovilpatti  (M) Main  Raod  Ward  6  ,  3.Kovilpatti  (M)  Mohamad  Saliyapuram  Masque
Street  No2  Ward  13  ,  999.OVERSEAS  ELECTORS",All  Voters,361,Dravida Munnetra Kazhagam,201,108,93,Tamilaga Vettri Kazhagam,1,3,4,2,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,25.76177285318559,0
200,46,343,13,1,0,0,0,157,1,0,0,0,0,0,0,0,0,0,1,0,0,562,0,0,562,0,North Puthugramam Kovilpatti,"Vivek  Nursury  and  Primary  School,  East Building  South  Portion,  North  Puthugramam Kovilpatti","1.Kovilpatti  (M)  Mohamad  Saliyapuram  Masque  Street  No1  Ward  13  , 999.OVERSEAS  ELECTORS",All  Voters,562,Dravida Munnetra Kazhagam,343,157,186,Tamilaga Vettri Kazhagam,1,3,4,2,5,8,8,8,5,8,8,8,8,8,8,8,8,8,5,8,8,33.09608540925267,1
201,108,126,20,0,0,0,3,270,0,0,0,1,0,0,0,0,1,0,0,0,0,529,0,0,529,0,Puthugramam Kovilpatti,"Vivek  Nursury  and  Primary  School,  East Building  North  Portion,  North  Puthugramam Kovilpatti","1.Kovilpatti  (M)  LoyalMill  Colony  Bagalaw  Street  Ward  6  ,  2.Kovilpatti  (M) Mill  Street  Ward  12  ,  3.Kovilpatti  (M)  Bangalaw  Street  Ward  12  ,
4.Kovilpatti  (M)  North  New  Village  Street4  Ward  7  ,  Door  No.,1  to  60
(Sl.No.  1  to  620),  999.OVERSEAS  ELECTORS",All  Voters,529,Tamilaga Vettri Kazhagam,270,126,144,Dravida Munnetra Kazhagam,2,3,4,1,8,8,8,5,8,8,8,6,8,8,8,8,6,8,8,8,8,27.22117202268431,2
202,88,79,10,2,0,1,0,147,0,0,0,1,0,1,1,0,0,0,0,0,0,330,0,1,331,0,Puthugramam Kovilpatti,"Vivek  Nursury  and  Primary  School,  West Building  North  Portion,  North  Puthugramam Kovilpatti","1.Kovilpatti  (M)  North  New  Village  Street4  Ward  7  ,  Door  No  61  above (Sl.No  621  to  1339),  999.OVERSEAS  ELECTORS",All  Voters,330,Tamilaga Vettri Kazhagam,147,88,59,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,5,10,6,10,10,10,10,6,10,6,6,10,10,10,10,10,10,17.87878787878788,3
203,130,161,30,2,0,1,0,190,1,0,0,1,0,0,2,0,2,1,1,0,0,522,0,0,522,0,Pudugramam Kovilpatti,"Illathar  Middle  School,  South  Bulilding South  Portion  VII  C  Class  room, Pudugramam  Kovilpatti","1.Kovilpatti  (m)  North  newvillage  stree1  ward13  ,  999.OVERSEAS ELECTORS",All  Voters,522,Tamilaga Vettri Kazhagam,190,161,29,Dravida Munnetra Kazhagam,2,3,4,1,5,13,8,13,8,13,13,8,13,13,5,13,5,8,8,13,13,5.555555555555555,7
204,138,144,24,1,0,3,1,280,0,1,0,0,0,0,1,1,0,0,0,0,0,594,0,2,596,0,Pudugramam Kovilpatti,"Illathar  Middle  School,  South  Bulilding South  Portion  VII  B  Class  room, Pudugramam  Kovilpatti","1.Kovilpatti  (M)  North  New  Village  Street  No2  Ward13  ,  2.Kovilpatti  (M) North  New  Village  Street  No3  Ward  No  7  ,  999.OVERSEAS  ELECTORS",All  Voters,594,Tamilaga Vettri Kazhagam,280,144,136,Dravida Munnetra Kazhagam,2,3,4,1,6,11,5,6,11,6,11,11,11,11,6,6,11,11,11,11,11,22.8956228956229,3
205,78,205,29,0,0,1,1,241,0,0,0,0,0,0,1,3,1,1,0,0,0,561,0,0,561,0,Pudugramam Kovilpatti,"Illathar  Middle  School  Southern  Building, Middle  Portion  Pudugramam  Kovilpatti","1.Kovilpatti  (m)  Thiruvalluvar  nagar  street1  ward  9  Door  No  1  to  100 (Sl.No.1  to  742,  )  999.OVERSEAS  ELECTORS",All  Voters,561,Tamilaga Vettri Kazhagam,241,205,36,Dravida Munnetra Kazhagam,2,3,4,1,11,11,6,6,11,11,11,11,11,11,6,5,6,6,11,11,11,6.417112299465241,6
206,107,179,17,1,0,5,1,203,0,1,1,1,0,1,2,0,0,0,0,0,0,519,0,4,523,0,Pudugramam Kovilpatti,"Illathar  Middle  School  Southern  Building, West  Portion  Pudugramam  Kovilpatti",1.Kovilpatti  (m)  Thiruvalluvar  nagar  street1  ward  9  Door  No.  101  above Sl.No.743  to  1466)  999.OVERSEAS  ELECTORS,All  Voters,519,Tamilaga Vettri Kazhagam,203,179,24,Dravida Munnetra Kazhagam,2,3,4,1,7,13,5,7,13,7,7,7,13,7,6,13,13,13,13,13,13,4.624277456647398,6
207,182,233,52,1,0,3,2,354,1,0,1,0,2,2,0,2,2,2,0,0,1,840,0,3,843,1,Kovilpatti,"Illathar  Middle  School
North  Side  Western  Portion  Pudugrammam Kovilpatti","1.Kovilpatti  (m)  Thiruvalluvar  nagar  street  2  ward  9  ,  2.Kovilpatti  (M) Thiruvalluvar  Nagar  3rd  Street  ward  9  ,  3.Kovilpatti  (M)  North  New  Village Street5  Ward  7  ,  4.Kovilpatti  (M)  North  New  Village  Street  6  Ward  7  , 999.OVERSEAS  ELECTORS",All  Voters,840,Tamilaga Vettri Kazhagam,354,233,121,Dravida Munnetra Kazhagam,2,3,4,1,12,16,5,6,12,16,12,16,6,6,16,6,6,6,16,16,12,14.4047619047619,12
208,151,158,31,0,0,1,1,297,1,0,1,0,1,1,0,0,0,0,0,0,0,643,0,3,646,0,"pudhugrammam, Kovilpatti","Municiple  Library  main  road, pudhugrammam,  Kovilpatti","1.Kovilpatti  (m)  New  village  main  road  ward  7  ,  999.OVERSEAS ELECTORS",All  Voters,643,Tamilaga Vettri Kazhagam,297,158,139,Dravida Munnetra Kazhagam,2,3,4,1,11,11,5,5,5,11,5,11,5,5,11,11,11,11,11,11,11,21.61741835147745,3
209,140,174,30,1,0,1,1,274,0,0,0,0,0,0,1,2,0,0,1,2,0,627,0,1,628,0,"Pudhugrammam, Kovilpatti","Child  Welfare  Center,  Pudhugrammam, Kovilpatti","1.Kovilpatti  (m)  New  village  main  road  ward  7  ,  999.OVERSEAS ELECTORS",All  Voters,627,Tamilaga Vettri Kazhagam,274,174,100,Dravida Munnetra Kazhagam,2,3,4,1,7,12,7,7,12,12,12,12,12,12,7,5,12,12,7,5,12,15.94896331738437,6
210,154,206,35,0,0,0,0,306,0,0,0,0,0,0,0,1,1,1,0,0,0,704,0,3,707,0,Pudugiramam Kovilpatti,"Illatthar  Middle  School,  North  Side  South Pudugiramam  Kovilpatti","1.Kovilpatti  (m)  Oodai  street  ward  8  ,  2.Kovilpatti  (M)  South  New  Village Street  No1  Ward  8  ,  999.OVERSEAS  ELECTORS",All  Voters,704,Tamilaga Vettri Kazhagam,306,206,100,Dravida Munnetra Kazhagam,2,3,4,1,8,8,8,8,8,8,8,8,8,8,8,5,5,5,8,8,8,14.20454545454546,3
211,130,194,33,0,1,0,0,268,0,0,0,0,0,0,1,1,0,0,1,0,0,629,0,2,631,0,South Pudugiramam Kovilpatti,"Illatthar  Middle  School,  South  Side  South Pudugiramam  Kovilpatti","1.Kovilpatti  (M)  Oodai  Street  Ward  8  ,  2.Kovilpatti  (M)  South  New  Village Street  No2  Ward8  ,  3.Kovilpatti  (M)  South  New  Village  Street  3  Ward  12  , 999.OVERSEAS  ELECTORS",All  Voters,629,Tamilaga Vettri Kazhagam,268,194,74,Dravida Munnetra Kazhagam,2,3,4,1,9,5,9,9,9,9,9,9,9,9,5,5,9,9,5,9,9,11.76470588235294,3
212,100,90,29,0,0,0,1,148,0,0,0,0,1,0,0,0,0,0,0,0,0,369,0,5,374,0,Kovilpatti,"Community  Hall,  Kadalaiyoor  Road, Kovilpatti","1.Kovilpatti  (M)  Banglaw  Street1  Ward  12  ,  2.Kovilpatti  (M)  Kadalaiyur Main  RoadWard12  ,  999.OVERSEAS  ELECTORS",All  Voters,369,Tamilaga Vettri Kazhagam,148,100,48,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,7,7,5,7,7,7,7,5,7,7,7,7,7,7,7,7,13.00813008130081,1
213,170,268,63,0,0,3,0,345,0,0,0,0,1,0,0,0,1,1,0,0,1,853,0,1,854,0,Kovilpatti,"Loyal  Textile  Mills  Middle  School,  From  East Portion,  East  Side  Class  Room  No.1
Kovilpatti","1.Kovilpatti  (M)  Bangalaw  Street  2  Ward  11  ,  2.Kovilpatti  (M)  Bangalaw Street  Kadalyur  Road  ,  999.OVERSEAS  ELECTORS",All  Voters,853,Tamilaga Vettri Kazhagam,345,268,77,Dravida Munnetra Kazhagam,2,3,4,1,10,10,5,10,10,10,10,10,6,10,10,10,6,6,10,10,6,9.026963657678781,4
214,139,203,27,0,0,2,1,176,1,1,0,0,0,0,0,0,0,0,0,1,0,551,0,2,553,0,Kovilpatti,"Loyal  Textile  Mills  Middle  School,  From  East Portion,First  and  Second  Std  ABL-2
Kovilpatti","1.Kovilpatti  (m)  Thiruvalluvar  nagar  street  3  ward  9  ,  999.OVERSEAS ELECTORS",All  Voters,551,Dravida Munnetra Kazhagam,203,176,27,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,5,6,6,6,10,10,10,10,10,10,10,10,10,6,10,4.900181488203267,2
215,130,139,30,0,1,0,0,207,0,3,0,0,0,0,0,0,8,2,0,1,0,521,0,0,521,0,Kovilpatti,"Loyal  Textile  Mills  Middle  School,  From  East Portion,First  and  Second  Std  ABL-3
Kovilpatti","1.Kovilpatti  (M)  Thiruvalluvar  Nagar  Street  4  Ward10  ,  999.OVERSEAS ELECTORS",All  Voters,521,Tamilaga Vettri Kazhagam,207,139,68,Dravida Munnetra Kazhagam,2,3,4,1,10,8,10,10,10,6,10,10,10,10,10,10,5,7,10,8,10,13.05182341650672,14
216,117,152,27,2,0,0,1,205,0,0,0,0,0,0,0,1,0,1,0,0,0,506,0,3,509,0,Bungalow  Street Kovilpatti,"Municipal  Primary  School,  South  New Building,  East  Room,  Bungalow  Street, Kovilpatti.","1.Kovilpatti  (m)  Kaliyappar  street  ward  14  ,  2.Kovilpatti  (M)  Mill  Street Ward14  ,  3.Kovilpatti  (M)  New  Road  Ward  15  ,999.OVERSEAS  ELECTORS",All  Voters,506,Tamilaga Vettri Kazhagam,205,152,53,Dravida Munnetra Kazhagam,2,3,4,1,5,9,9,6,9,9,9,9,9,9,9,6,9,6,9,9,9,10.47430830039526,2
217,102,111,17,0,0,1,1,193,0,0,0,1,0,2,0,0,0,0,0,0,0,428,0,3,431,0,"Bungalow  Street, Kovilpatti","Municipal  Primary  School,  South  New Building,  Middle  Room,  Bungalow  Street, Kovilpatti.","1.Kovilpatti  (M)  Kaliyappar  Compound  Ward  12  ,  2.Kovilpatti  (M) Sellapandiyan  Street  Ward  12  ,  3.Kovilpatti  (M)  Police  Colony  Ward  12  , 999.OVERSEAS  ELECTORS",All  Voters,428,Tamilaga Vettri Kazhagam,193,111,82,Dravida Munnetra Kazhagam,2,3,4,1,9,9,6,6,9,9,9,6,9,5,9,9,9,9,9,9,9,19.1588785046729,3
218,90,168,26,0,0,1,1,132,1,5,0,0,0,1,1,0,1,0,0,0,0,427,0,2,429,0,Bunglow  street Kovilpatti,"Municipal  Primary  School  South  new building,  West  Room,  Bunglow  street Kovilpatti","1.Kovilpatti  (m)  Thiruvalluvar  nagar  street  5  ward  9  ,
2.Kovilpatti  (M)  Thiruvalluvar  Nagar  Street  6  Ward  9  , 3.Kovilpatti  (M)  Kadalyur  Main  Road  Ward  10  ,
4.Kovilpatti  (M)  State  Bank  colony  Ward  10  ,  999.OVERSEAS
ELECTORS",All  Voters,427,Dravida Munnetra Kazhagam,168,132,36,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,6,6,6,5,12,12,12,6,6,12,6,12,12,12,12,8.430913348946136,8
219,147,115,28,2,0,0,0,152,0,0,0,0,0,0,0,0,1,0,0,0,0,445,0,2,447,0,Bunglow  street Kovilpatti,"Municipal  Primary  School  North  East  side, North  Building,  Bunglow  street  Kovilpatti","1.Kovilpatti  (M)  E.S.I.  kalani  ward  12  ,  2.Kovilpatti  (M)  Hussain  Street Ward  11  ,  3.Kovilpatti  (M)  Palaniandaver  Koil  Street  Ward  11, 999.OVERSEAS  ELECTORS",All  Voters,445,Tamilaga Vettri Kazhagam,152,147,5,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,1.123595505617978,1
220,116,102,20,1,0,0,0,143,0,0,0,0,0,0,0,1,0,0,0,0,0,383,0,1,384,0,New  Road  Kovilpatti,"Municipal  Middle  School  North  Building, Middle  Room,  New  Road  Kovilpatti","1.Kovilpatti  (M)  Ettaiyapuram  Road  Ward  35  , 2.Kovilpatti  (M)  Kasirajan  Street  Ward  11  ,
3.Kovilpatti  (M)  Nehru  Street  Ward  11  ,
4.Kovilpatti  (M)  Kamarajar  Street  Ward  11  ,  999.OVERSEAS  ELECTORS",All  Voters,383,Tamilaga Vettri Kazhagam,143,116,27,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,5,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7.049608355091384,1
221,84,126,31,0,0,0,0,131,0,1,0,1,0,0,0,1,0,0,0,0,0,375,0,1,376,0,New  Road  Kovilpatti,"Municipal  Middle  School,  South  Building, Middle  Room,  New  Road  Kovilpatti","1.Kovilpatti  (M)  Bangala  Street  5  Ward  11  , 2.Kovilpatti  (M)  Bangala  Street  4  Ward  11  , 3.Kovilpatti  (M)  Bangala  Street  3  Ward  11  , 4.Kovilpatti  (M)  Bangala  Street  Ward  6  ,
5.Kovilpatti  (M)  Perumal  Street  Ward  15  ,  999.OVERSEAS  ELECTORS",All  Voters,375,Tamilaga Vettri Kazhagam,131,126,5,Dravida Munnetra Kazhagam,2,3,4,1,8,8,8,8,8,5,8,5,8,8,8,5,8,8,8,8,8,1.333333333333333,3
222,206,204,42,0,0,1,1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,2,765,0,New  Road  Kovilpatti,"Municipal  Middle  School,  South  Building, West  Room,  New  Road,  Kovilpatti","1.Kovilpatti  (M)  Old  Post  office  Street  Ward  15  ,  2.Kovilpatti  (M)
Muthaiyammal  Street  Ward  14  ,  3.Kovilpatti  (M)  Alwar  Street  Sandu  1 Ward  14  ,  4.Kovilpatti  (M)  Alwar  Street  1  Ward  14  ,  999.OVERSEAS ELECTORS",All  Voters,763,Tamilaga Vettri Kazhagam,309,206,103,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,13.49934469200524,0
223,139,148,28,0,0,0,1,207,0,1,0,0,0,0,1,0,0,1,0,0,0,526,0,3,529,0,Kovilpatti,"Municipal  Middle  School,  South  Building, East  Room,  New  Road,  Kovilpatti","1.Kovilpatti  (M)  Alwar  Street  2  Ward  14  ,  2.Kovilpatti  (M)  Mil  Street  sandu 1  Ward  14  ,  3.Kovilpatti  (M)  MIl  Street  Sandu  2  Ward  14  ,  4.Kovilpatti  (M) Thanukodiyapuram  Pillaiar  Ward  15  ,  5.Kovilpatti  (M)  Pudu  Road  Ward 15  ,  999.OVERSEAS  ELECTORS",All  Voters,526,Tamilaga Vettri Kazhagam,207,148,59,Dravida Munnetra Kazhagam,2,3,4,1,9,9,9,5,9,5,9,9,9,9,5,9,9,5,9,9,9,11.21673003802281,3
224,201,133,41,2,1,0,0,297,0,0,1,0,0,0,0,0,1,3,0,1,0,681,0,3,684,0,Kovilpatti,"Vaniga  Vaisia  Middle  School,  East  Building Main  Room  Kovilpatti","1.Kovilpatti  (m)  Soundrapandian  Street  Ward  15  ,  2.Kovilpatti  (M) Thanukadiyapuram  Street  Ward  15  ,  3.Kovilpatti  (M)  Arunachallam
Peattai  Street  Ward  15  ,  4.Kovilpatti  (M)  Thanukodiyapuram  Pudutheru
Ward  15  ,  5.Kovilpatti  (M)  Ramalingar  Street  Ward  4  ,  999.OVERSEAS ELECTORS",All  Voters,681,Tamilaga Vettri Kazhagam,297,201,96,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,7,11,11,11,11,7,11,11,11,11,11,7,5,11,7,11,14.09691629955947,6
225,264,149,58,1,0,0,1,297,0,1,0,2,0,1,0,1,3,1,0,0,0,779,0,3,782,0,Kovilpatti,Vaniga  Vaisia  Middle  School  South  Side  3rd Room  main  Building  Kovilpatti,"1.Kovilpatti  (M)  Thanukkodiayapuram  Pilaiar  Kovil  tenvadal  Sandu  , 2.Kovilpatti  (M)  Patirakaliamman  koil  street  ward  16  ,  3.Kovilpatti  (M) Kadalikaratheru  North  line  ward  16  ,  4.Kovilpatti  (M)  Kadalikarastreet North  line  ward  17  999.OVERSEAS  ELECTORS",All  Voters,779,Tamilaga Vettri Kazhagam,297,264,33,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,13,13,7,13,7,13,6,13,7,13,7,5,7,13,13,13,4.236200256739409,9
226,241,205,59,0,0,0,1,318,0,0,0,0,0,0,1,0,1,1,0,0,0,827,0,3,830,0,Kovilpatti,"Nadar  Middle  School,  Main  Building  North Portion  Kovilpatti","1.Kovilpatti  (m)  Soundrapandian  street  ward  15  16  ,  2.Kovilpatti  (M) Kadalikara  street  south  line  ward  17  ,  3.Kovilpatti  (M)  Kadalikara  Street sandu  1  ward  16  ,  4.Kovilpatti  (M)  Kadalaikara  Street  sandu  2  ward  16  , 5.Kovilpatti  (M)  Chekadistreet1  Ward  17  ,  999.OVERSEAS  ELECTORS",All  Voters,827,Tamilaga Vettri Kazhagam,318,241,77,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,9,9,9,5,9,9,9,9,9,9,5,9,5,5,9,9,9,9.310761789600967,3
227,118,138,28,1,0,0,0,206,0,1,0,0,0,1,0,0,0,0,0,0,1,494,0,2,496,0,Kovilpatti,"Nadar  Middle  School,  Main  Building  South Portion  Kovilpatti","1.Kovilpatti  (M)  Rotrix  street  ward  19  , 2.Kovilpatti  (M)  School  street  ward  17,
3.Kovilpatti  (M)  Pallivasal  street  ward  17,  999.OVERSEAS  ELECTORS",All  Voters,494,Tamilaga Vettri Kazhagam,206,138,68,Dravida Munnetra Kazhagam,2,3,4,1,5,9,9,9,9,5,9,9,9,5,9,9,9,9,9,9,5,13.76518218623482,3
228,97,114,23,1,0,0,0,168,1,1,0,0,1,1,0,1,0,0,0,0,0,408,0,1,409,0,Kovilpatti,"Nadar  Middle  School,  Main  Building  Middle Portion  Kovilpatti","1.Kovilpatti  (M)  Sekkadi  street  2  ward  19  ,  999.OVERSEAS  ELECTORS",All  Voters,408,Tamilaga Vettri Kazhagam,168,114,54,Dravida Munnetra Kazhagam,2,3,4,1,5,11,11,11,5,5,11,11,5,5,11,5,11,11,11,11,11,13.23529411764706,4
229,119,163,38,0,0,0,0,231,0,0,0,1,0,0,0,0,0,0,1,0,0,553,0,5,558,0,Kovilpatti,"Govt.  Girls.  Hr.  Sec.  School,
Library  Back  side  Building  North  Room, Kovilpatti","1.Kovilpatti(M)  Thangammal  Street  ward  18  , 2.Kovilpatti  (M)  Ambadkar  street  ward  18  ,
3.Kovilpatti  (M)  Oorani  Street  3  ward  18  ,  999.OVERSEAS  ELECTORS",All  Voters,553,Tamilaga Vettri Kazhagam,231,163,68,Dravida Munnetra Kazhagam,2,3,4,1,7,7,7,7,7,7,7,5,7,7,7,7,7,7,5,7,7,12.29656419529837,2
230,99,99,14,0,1,0,3,110,2,0,0,1,1,0,0,0,0,1,0,0,0,331,0,1,332,0,Kovilpatti,"Govt.  Girls.  Hr.  Sec.  School,
Library  Back  side  Building  South  Room, Kovilpatti","1.Kovilpatti  (M)  Chekadi  street  1  ward  17  ,  2.Kovilpatti  (M)  Karuppsamy kovilStreet  ward  16  ,
3.Kovilpatti  (M)  Bharathidosan  Street  Ward  20  ,
4.Kovilpatti  (M)  Oorani  mela  Street  ward  20,  999.OVERSEAS  ELECTORS",All  Voters,331,Tamilaga Vettri Kazhagam,110,99,11,Dravida Munnetra Kazhagam,2,2,4,1,11,7,11,5,6,11,11,7,7,11,11,11,11,7,11,11,11,3.323262839879154,3
231,119,153,31,1,0,0,0,214,1,4,0,0,1,0,0,2,0,0,0,0,0,526,0,2,528,0,Kovilpatti,"Govt.  Girls.  Hr.  Sec.  School,
Front  New  Building,  North  Facing  room, Kovilpatti","1.Kovilpatti  (m)  Teppakkulan  street  ward  18  ,2.Kovilpatti  (M)  Govt.  Office Street  ward  19,  3.Kovilpatti  (M)  Sivankovil  Street  ,  4.Kovilpatti  (M) Ettaiyapuram  Road  ,  999.OVERSEAS  ELECTORS",All  Voters,526,Tamilaga Vettri Kazhagam,214,153,61,Dravida Munnetra Kazhagam,2,3,4,1,7,10,10,10,7,5,10,10,7,10,10,6,10,10,10,10,10,11.59695817490494,7
232,163,141,43,1,0,2,1,283,0,0,0,0,0,0,0,1,1,0,0,0,0,636,0,2,638,0,Kovilpatti,"Govt  Girls  Hr  Sec  School,  West  Block  north facing  building,  East  Room,  Kovilpatti","1.Kovilpatti  (M)  Chekadi  street  3  Ward  19  ,  OVERSEAS  ELECTORS",All  Voters,636,Tamilaga Vettri Kazhagam,283,163,120,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,10,5,6,10,10,10,10,10,10,10,6,6,10,10,10,10,18.86792452830189,2
233,179,124,47,0,0,0,1,229,1,1,0,0,0,1,0,0,0,1,0,0,0,584,0,1,585,0,Kovilpatti,"Govt  Girls  Hr  Sec  School,  West  Block  north facing  building,  West  Room,  Kovilpatti","1.Kovilpatti  (m)  OoraniStreet  2  Ward  18  ,  2.Kovilpatti  (M)  Oorani  Street  1 Ward  18  ,  3.Kovilpatti  (M)  Ettaiyapuram  road  Ward  21  ,  4.Kovilpatti  (M) Bhawathsingh  Street  ward  21  ,  999.OVERSEAS  ELECTORS",All  Voters,584,Tamilaga Vettri Kazhagam,229,179,50,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,10,10,10,5,5,5,10,10,10,5,10,10,10,5,10,10,10,8.561643835616438,3
